Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.0012285537,,,,,,,,,,
WorkFlow,tvVmax,-2.1135138,955232.68,,,,,,,,,
WorkFlow,tvKm,-11.603036,2885748.8,8902577.3,,,,,,,,
WorkFlow,tvV,0.032410392,-925.41096,-2626.2323,11.451747,,,,,,,
WorkFlow,tvKa,0.002563983,-121.33737,-322.86978,1.417218,0.24722541,,,,,,
WorkFlow,K12,-0.0028854166,-203.49789,-404.64725,2.619135,1.049213,8.1152165,,,,,
WorkFlow,K21,0.0041288006,-248.62504,-620.19088,3.3157192,0.66744054,3.3965445,1.8947827,,,,
WorkFlow,stdev0,0.00041795353,-87.886493,-487.8677,-3.4478141,-0.64529695,-3.0591416,-1.8132022,3.731176,,,
WorkFlow,nVmax-nVmax,-6.4439033e-05,75.983835,225.95764,-0.060326024,-0.010504625,-0.039239798,-0.025848832,1.5403229e-05,0.0084253313,,
WorkFlow,nV-nVmax,7.8533192e-05,31.39704,95.234863,-0.01155995,-0.0010377533,0.0041521711,-0.00065121125,-0.011864619,0.0027808336,0.0019461811,
WorkFlow,nV-nV,4.264813e-05,-4.8953478,-16.715923,-0.0074007313,-0.00089186321,0.0019121195,-0.0021701882,-0.0033258503,-0.00031169455,0.000465121,0.0015625325
