
 WorkFlow
Start 2024-05-14 09:17:51  Run : 51 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa     K12      K21
    1 7535.342   0.772281 1219.26 1207.83 16.46030 1.187000 2.19960 2.819700
    2 7517.502   0.689276 1227.15 1216.59 16.19000 1.196130 2.16392 2.836010
    3 7504.591   0.624080 1204.26 1225.46 15.72010 1.208700 2.10786 2.847310
    4 7491.952   0.537056 1207.64 1242.21 14.55960 1.240030 1.98674 2.840140
    5 7487.587   0.501117 1186.60 1333.47 13.75600 1.289570 1.95919 2.834580
    6 7482.160   0.502263 1216.57 1456.09 13.07070 1.334620 1.94740 2.861430
    7 7474.331   0.511087 1286.01 1809.37 12.54220 1.380530 1.99871 2.880560
    8 7470.776   0.520384 1386.22 1832.95 13.11580 1.328380 2.03457 2.892370
    9 7469.922   0.519795 1458.25 1873.63 13.26470 1.228870 2.03075 2.972590
   10 7469.825   0.519985 1440.90 1878.56 13.28570 1.206900 2.04633 2.953240
   11 7469.699   0.519366 1447.85 1900.14 13.11770 1.203220 2.05771 2.927750
   12 7469.521   0.517340 1465.09 1965.81 12.48250 1.187070 2.10893 2.825350
   13 7469.228   0.515775 1491.06 2029.67 12.12730 1.146160 2.15267 2.688460
   14 7468.847   0.517205 1539.20 2162.37 11.56040 1.099510 2.26237 2.523770
   15 7468.264   0.515569 1675.19 2519.07  9.35402 0.930764 2.58076 1.935400
   16 7468.262   0.515309 1687.91 2551.26  9.14486 0.917300 2.61765 1.883270
   17 7468.194   0.518094 1725.23 2623.45  8.65617 0.831482 2.65119 1.777720
   18 7467.776   0.520051 1727.36 2631.50  8.45582 0.827024 2.63048 1.676020
   19 7467.505   0.522307 1741.53 2661.52  8.01317 0.797893 2.61221 1.500490
   20 7467.504   0.522333 1741.69 2661.87  8.00768 0.797537 2.61198 1.498370
   21 7467.232   0.521702 1730.68 2664.16  7.88052 0.793305 2.59814 1.494240
   22 7467.118   0.522390 1734.63 2682.32  7.61264 0.773239 2.58598 1.396740
   23 7466.833   0.519231 1721.87 2709.05  7.34354 0.729688 2.58617 1.323730
   24 7466.743   0.518486 1727.13 2712.05  7.27302 0.726947 2.59864 1.311070
   25 7466.643   0.517476 1734.50 2729.89  7.02797 0.704237 2.61976 1.255420
   26 7466.573   0.516851 1739.76 2750.18  6.76769 0.677276 2.65336 1.213770
   27 7466.531   0.517395 1744.58 2774.86  6.43593 0.646252 2.67147 1.133640
   28 7466.495   0.517567 1743.28 2781.20  6.36437 0.640331 2.67105 1.120420
   29 7466.431   0.516931 1741.74 2804.11  6.09004 0.616863 2.67958 1.065250
   30 7466.400   0.517208 1748.36 2813.86  6.00614 0.607602 2.68797 1.049410
   31 7466.354   0.517381 1769.24 2849.01  5.61394 0.569087 2.71697 0.968994
   32 7466.354   0.516870 1769.49 2844.72  5.66784 0.575445 2.71027 0.981468
   33 7466.352   0.516993 1770.13 2843.24  5.69660 0.577911 2.70371 0.984280
   34 7466.349   0.517185 1776.00 2851.24  5.63313 0.570728 2.69786 0.965924
   35 7466.343   0.517390 1786.43 2869.96  5.47710 0.553356 2.68901 0.926876
   36 7466.339   0.517274 1780.16 2863.96  5.54594 0.560619 2.68817 0.944220
   37 7466.329   0.517179 1779.37 2869.69  5.53231 0.558843 2.67732 0.939386
   38 7466.322   0.516829 1781.03 2894.76  5.46983 0.548624 2.62400 0.912404
   39 7466.314   0.517010 1784.44 2900.01  5.48756 0.548704 2.60657 0.908280
   40 7466.307   0.517084 1788.09 2898.29  5.58224 0.555307 2.59606 0.921969
