
 WorkFlow
Start 2024-05-14 09:18:56  Run : 1.28333333333333 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa     K12      K21
    1 7474.630   0.720124 1317.72 1170.10 16.63460 1.173010 2.21870 2.820150
    2 7457.579   0.646167 1337.31 1177.58 16.32440 1.178480 2.17575 2.871490
    3 7444.197   0.583549 1340.07 1177.28 15.69320 1.174060 2.08643 2.881150
    4 7439.986   0.425758 1383.54 1249.32 13.13450 1.231670 1.80464 2.987420
    5 7427.815   0.514876 1377.48 1272.08 14.09300 1.209570 1.90173 2.989290
    6 7423.470   0.502823 1368.61 1339.80 13.97260 1.207680 1.89600 2.974050
    7 7415.579   0.450879 1539.16 1779.64 12.54040 1.176530 1.74982 3.046650
    8 7409.416   0.485745 1495.30 1624.72 13.80090 1.159170 1.87537 2.972590
    9 7407.936   0.489595 1547.75 1672.68 13.60130 1.146970 1.87089 2.964580
   10 7407.394   0.494403 1600.82 1749.23 13.51730 1.109590 1.88415 2.934510
   11 7406.428   0.497141 1608.10 1742.60 13.20270 1.102840 1.88855 2.898930
   12 7404.596   0.496916 1595.94 1735.71 12.69940 1.095060 1.94931 2.754520
   13 7403.526   0.494102 1623.57 1779.04 11.94160 1.042700 2.04291 2.553370
   14 7403.356   0.493134 1627.42 1788.47 11.95430 1.036550 2.05936 2.546490
   15 7403.267   0.488050 1624.99 1817.28 11.72100 0.998926 2.09935 2.436840
   16 7402.921   0.485817 1644.78 1842.66 11.19780 0.974309 2.13407 2.301630
   17 7402.606   0.489424 1675.31 1894.91 10.36720 0.931568 2.22696 2.062330
   18 7402.493   0.493012 1708.44 1959.60  9.42491 0.859774 2.32563 1.822240
   19 7402.490   0.495119 1739.39 2023.67  8.68650 0.798450 2.41036 1.620360
   20 7402.209   0.497139 1763.14 2071.06  8.15000 0.752355 2.47523 1.478500
   21 7402.209   0.497141 1763.17 2071.11  8.14949 0.752311 2.47530 1.478370
   22 7401.999   0.497940 1733.89 2072.95  8.16057 0.735982 2.43163 1.504160
   23 7401.927   0.496853 1732.86 2076.28  8.14950 0.740137 2.43637 1.489470
   24 7401.877   0.491816 1730.34 2088.63  7.95196 0.750321 2.42217 1.456730
   25 7401.727   0.491099 1726.98 2098.25  7.96083 0.742471 2.42330 1.445180
   26 7401.456   0.492739 1731.86 2121.94  7.91939 0.726736 2.41847 1.422300
   27 7401.378   0.494619 1743.72 2191.50  7.66563 0.692566 2.40350 1.339610
   28 7401.202   0.498194 1754.47 2203.54  7.59357 0.687266 2.39658 1.321680
   29 7401.019   0.505191 1788.88 2250.77  7.34970 0.666576 2.37590 1.252550
   30 7400.976   0.506916 1816.47 2285.83  7.16417 0.649211 2.35748 1.202140
   31 7400.937   0.503069 1856.07 2331.15  6.88127 0.623116 2.33282 1.119310
   32 7400.795   0.495168 1868.72 2341.80  6.75927 0.610674 2.31484 1.092510
   33 7400.644   0.488466 1855.72 2326.20  6.78965 0.609604 2.30956 1.102390
   34 7400.580   0.489239 1851.07 2321.07  6.78840 0.608650 2.30720 1.107770
   35 7400.507   0.492068 1836.94 2301.35  6.84326 0.613497 2.30916 1.132440
   36 7400.500   0.493483 1836.72 2298.55  6.85259 0.613251 2.31172 1.135910
   37 7400.454   0.493638 1846.44 2316.79  6.75248 0.604687 2.30301 1.092770
   38 7400.449   0.494059 1854.21 2329.38  6.66342 0.595784 2.29579 1.061350
   39 7400.404   0.495680 1861.57 2342.29  6.55163 0.584244 2.28803 1.028420
   40 7400.378   0.496665 1873.62 2362.17  6.40835 0.568460 2.27678 0.986275
   41 7400.366   0.497813 1893.12 2393.05  6.18029 0.543724 2.26067 0.923276
   42 7400.358   0.499162 1938.38 2458.03  5.68179 0.489670 2.22449 0.799255
   43 7400.220   0.501393 1977.23 2524.09  5.23317 0.444655 2.19500 0.711576
