Scenario,ID,nVmax,nVmax_shrinkage
WorkFlow,1,0.165615866743203,0.115304
WorkFlow,2,0.283105978736225,0.084058
WorkFlow,3,-0.652328211658529,0.623791
WorkFlow,4,0.0229350922587427,0.253382
WorkFlow,5,-0.512444642212854,0.421579
WorkFlow,6,-0.11906556446564,0.161223
WorkFlow,7,0.41750404813428,0.046804
WorkFlow,8,0.087900965694445,0.168758
WorkFlow,9,0.000326905814373808,0.187689
WorkFlow,10,-0.414318315785253,0.447629
WorkFlow,11,-0.105482807741673,0.350575
WorkFlow,12,-0.220078312824366,0.355479
WorkFlow,13,0.169330716912666,0.058523
WorkFlow,14,-0.178308974170567,0.148309
WorkFlow,15,0.035325013289452,0.228128
WorkFlow,16,-0.325712766080213,0.33643
WorkFlow,17,0.618057486235582,0.019601
WorkFlow,18,0.101924685369373,0.161917
WorkFlow,19,-0.121889622504788,0.322181
WorkFlow,20,0.428189938506163,0.0579
WorkFlow,21,-0.541247847234995,0.542641
WorkFlow,22,0.0129053677960919,0.268832
WorkFlow,23,-0.07638877376237,0.298758
WorkFlow,24,0.660142679051179,0.013796
WorkFlow,25,-0.0627306944503539,0.224152
WorkFlow,26,-0.775550438046255,0.643452
WorkFlow,27,-0.179487137748326,0.255988
WorkFlow,28,0.171059573546987,0.031493
WorkFlow,29,-0.0124567111393677,0.140922
WorkFlow,30,-0.0404585761706857,0.251958
WorkFlow,31,0.0905266823563914,0.295653
WorkFlow,32,0.0323879832489921,0.152205
WorkFlow,33,0.77899552862702,0.021701
WorkFlow,34,-0.399112606820504,0.346413
WorkFlow,35,-0.217025473263152,0.103564
WorkFlow,36,-0.113437953209767,0.1736
WorkFlow,37,-0.33822058938778,0.446158
WorkFlow,38,0.191793343273092,0.068469
WorkFlow,39,0.307130772444037,0.105599
WorkFlow,40,0.336372418830489,0.085365
WorkFlow,41,0.656371751603618,0.020026
WorkFlow,42,0.100753862333698,0.10102
WorkFlow,43,0.355123918106296,0.134557
WorkFlow,44,0.0393815315250662,0.13665
WorkFlow,45,-0.218381248496378,0.315103
WorkFlow,46,0.256877754579788,0.035496
WorkFlow,47,0.230526174257086,0.141237
WorkFlow,48,0.0731055546395689,0.203193
WorkFlow,49,-0.348265122147326,0.401088
WorkFlow,50,0.116892541235197,0.168059
WorkFlow,51,-0.234265366898566,0.254836
WorkFlow,52,-0.0666887999204195,0.244604
WorkFlow,53,0.415675819253331,0.084514
WorkFlow,54,0.421262130906462,0.0249
WorkFlow,55,0.421976245358524,0.07297
WorkFlow,56,0.040475309905891,0.292082
WorkFlow,57,-0.303102694126378,0.40826
WorkFlow,58,0.00737379924274973,0.085363
WorkFlow,59,-0.3283482644729,0.43242
WorkFlow,60,0.119241254979489,0.093257
