Scenario,ID,nVmax,nKm,nV,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage
WorkFlow,1,0.404337191535659,-0.143019077260129,-0.0258337027570679,0.044288,0.195219,0.980819
WorkFlow,2,-0.168110460266193,-0.335229352556918,0.0027824024332378,0.207735,0.247388,0.997302
WorkFlow,3,-0.0736480839365931,0.158780852329081,0.00225522761874598,0.166016,0.243044,0.994831
WorkFlow,4,-0.134587494234117,0.568434777723382,0.00539700546361628,0.497846,0.254161,0.993099
WorkFlow,5,0.0731077609931841,-0.255989933319309,0.00544257298589037,0.051436,0.203313,0.984989
WorkFlow,6,0.0320616047370234,-0.212388991960023,-0.00240873009704462,0.039553,0.22069,0.992746
WorkFlow,7,-0.0507568421136052,0.300059593527689,-1.40548437459128e-05,0.18566,0.246762,0.991268
WorkFlow,8,-0.113039550315839,0.493210102263099,0.0049763624969311,0.399911,0.250878,0.993297
WorkFlow,9,0.133848348144531,-0.391936076903895,-0.00207038280457302,0.040523,0.214502,0.989089
WorkFlow,10,-0.000772244801987753,-0.0845339860614463,0.00167574718213785,0.078692,0.233122,0.99368
WorkFlow,11,0.246019735894593,0.0802011442930335,-0.0184265895031433,0.087546,0.224666,0.985456
WorkFlow,12,0.225590728290992,-0.334692487154629,-0.00791942998145554,0.045467,0.2068,0.987491
WorkFlow,13,-0.0941363313939535,0.0649943479633513,0.00320490553023297,0.10283,0.233309,0.993699
WorkFlow,14,-0.0362836517995002,-0.0157933005627696,0.00199810721464238,0.062519,0.235389,0.995723
WorkFlow,15,-0.536314781656946,-0.750211159008193,0.00692256122594271,0.559038,0.236765,0.999356
WorkFlow,16,0.130557623017578,0.0553799263982562,-0.00127635032319617,0.059379,0.22605,0.987866
WorkFlow,17,-0.356187551183985,-0.420818761635185,0.00508376669438387,0.173206,0.243004,0.997534
WorkFlow,18,-0.0193609995206385,-0.112812314960935,0.00238411575602973,0.116454,0.239576,0.992942
WorkFlow,19,-0.156989250957003,0.0110376577313651,0.00403254801127291,0.306227,0.249335,0.995679
WorkFlow,20,0.45167788899216,0.0576591010302441,-0.0234365068417455,0.069615,0.192271,0.974104
WorkFlow,21,0.509919891879778,-0.309834926430327,-0.0123227813425917,0.054497,0.151494,0.934016
WorkFlow,22,0.00324425927112476,0.457006502391707,0.00152564327020985,0.365194,0.255503,0.993012
WorkFlow,23,0.110295455109219,0.258391076916128,-0.0036388796701123,0.181708,0.251942,0.992729
WorkFlow,24,-0.0550002725711531,0.281683652372281,0.000417032151885931,0.21315,0.250492,0.996268
WorkFlow,25,0.341343381394903,0.419457879204152,-0.010470879888444,0.093444,0.223578,0.980712
WorkFlow,26,0.1082049539987,0.361184664296384,-0.0147377991759286,0.085921,0.225313,0.985525
WorkFlow,27,0.163976359747767,-0.119739096420824,-0.00350369354518503,0.048446,0.214492,0.98845
WorkFlow,28,-0.421952193072228,0.334037946125483,0.00942432242938955,0.364079,0.24199,0.996825
WorkFlow,29,-0.20650634947634,-0.597998916553374,0.00319597238970592,0.109706,0.238628,0.998001
WorkFlow,30,0.0282792481794521,0.306559599807623,0.000150108168392262,0.224287,0.24862,0.992375
WorkFlow,31,-0.192133353783678,-0.623087317974601,0.00275182822523524,0.364141,0.254654,0.998512
WorkFlow,32,0.354076728594935,0.311195002116063,-0.0130023020243041,0.070293,0.219792,0.982059
WorkFlow,33,-0.540274359414167,-0.323604528813743,0.00786798426569469,0.587091,0.236574,0.999034
WorkFlow,34,-0.116755659591706,0.436754011621669,0.00465203204538792,0.206601,0.245022,0.991319
WorkFlow,35,0.059690287461356,0.0373699746422529,0.0017908751003873,0.050852,0.204262,0.985833
WorkFlow,36,0.192099674974418,0.446295562812287,-0.00307108893395728,0.088951,0.230261,0.98564
WorkFlow,37,0.134241240851567,-0.480136044888196,-0.0053205573781407,0.030194,0.220045,0.993661
WorkFlow,38,-0.133920282742664,-0.412278825776382,-0.00131822179444184,0.060444,0.231581,0.99562
WorkFlow,39,0.386293993362346,0.300900984002044,-0.0193657981657156,0.091272,0.217622,0.980606
WorkFlow,40,0.69377038970027,-0.0955980317572316,-0.021689907844079,0.071259,0.149615,0.949341
WorkFlow,41,-0.196718344980031,0.299826719140595,0.00473059027271306,0.226775,0.239343,0.993483
WorkFlow,42,-0.147409374811246,-0.418864455259061,0.00287990861621733,0.094494,0.238982,0.996799
WorkFlow,43,-0.0585636488248739,0.0785657509599613,0.000969305895382948,0.406794,0.252881,0.996558
WorkFlow,44,0.163326445427855,0.246921433054487,-0.00398287226393006,0.085432,0.225874,0.985155
WorkFlow,45,0.314936826124369,0.302399606196774,-0.00516665296449937,0.067145,0.222255,0.98597
WorkFlow,46,-0.101940897550314,0.0882107181586899,0.00525648043897594,0.078644,0.231834,0.992412
WorkFlow,47,-0.192868137003776,0.196793224941217,0.00547234180450174,0.496762,0.248546,0.997069
WorkFlow,48,0.294957275571493,0.162845882281188,-0.00906840719495707,0.080249,0.227518,0.985779
WorkFlow,49,0.263186202567117,0.141985177759918,-0.00152231768793367,0.060103,0.222867,0.985164
WorkFlow,50,0.034796832787802,0.0370518976343319,3.12162570968663e-05,0.143204,0.248202,0.992428
WorkFlow,51,-0.322514435264157,-0.80870677144715,0.0046268942698852,0.092293,0.235363,0.997996
WorkFlow,52,-0.162918392374864,-0.173113854664357,0.00380381356611835,0.297501,0.24949,0.997886
WorkFlow,53,-0.246723809942773,0.250021003646118,0.00608793885755782,0.585043,0.243286,0.997571
WorkFlow,54,-0.566748952577603,-0.471376770986608,0.00575238012644974,0.505295,0.235769,0.99941
WorkFlow,55,-0.00275726582024763,-0.0979737050933712,0.0015272227467431,0.112305,0.239115,0.991416
WorkFlow,56,0.102223750012776,0.0694015525976709,-0.000717448848909106,0.162162,0.247032,0.989883
WorkFlow,57,0.6517308456017,-0.16342509139021,-0.0472615490959345,0.080453,0.161021,0.962161
WorkFlow,58,-0.285855048959343,-0.284509450738378,0.00491230284937215,0.168027,0.241021,0.997709
WorkFlow,59,-0.429002512887629,-0.423969713889099,0.00718769883638146,0.424506,0.237517,0.998543
WorkFlow,60,0.318563090290075,0.033501873831503,-0.0214052082414931,0.058519,0.196885,0.978369
