Scenario,ID,nVmax,nKm,nV,nKa,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage,nKa_shrinkage
WorkFlow,1,0.313826388790631,-0.286551272645776,-0.00950631039274905,0.275251841057974,0.041107,0.197539,0.98617,0.530579
WorkFlow,2,0.311424426258108,-0.229922499565869,-0.0263720068827794,0.0237765633953412,0.054778,0.202777,0.983221,0.467479
WorkFlow,3,-0.24593362019696,0.320722219106692,0.00638805424640965,-0.279935989685592,0.395438,0.266924,0.995882,0.430193
WorkFlow,4,0.0299289859560194,-0.0657707293791984,0.000190111208769824,0.189626789229618,0.199029,0.252564,0.989655,0.508599
WorkFlow,5,-0.367697524458376,0.332925302892899,0.0125531742169604,0.21561911671455,0.41675,0.246034,0.993699,0.511887
WorkFlow,6,0.00661621030840778,0.218820839463805,0.000831946054170077,0.25067491148152,0.100925,0.233598,0.990902,0.503564
WorkFlow,7,-0.325524043364631,0.0829214625612423,0.00877320231331663,-0.925935000053116,0.433291,0.305229,0.995379,0.373368
WorkFlow,8,0.0485058113799789,0.470834337469503,-0.00289116789738415,-0.473541681592889,0.312736,0.286529,0.988616,0.419135
WorkFlow,9,0.438259092081394,-0.139219840078664,-0.0225603606363473,0.923319938534756,0.069175,0.170437,0.970441,0.626723
WorkFlow,10,-0.44015491414519,-0.0512453750409923,0.00909769739514215,-0.399338307359389,0.522644,0.260046,0.99795,0.414914
WorkFlow,11,-0.157144845962986,0.0463530390607106,0.00538304777224647,0.0856943410633429,0.411367,0.252614,0.993261,0.47832
WorkFlow,12,-0.107919464040151,-0.615467122594924,-1.33117281915304e-05,-0.521064333569735,0.092317,0.267154,0.995841,0.399254
WorkFlow,13,0.283498958737721,-0.243895013387206,-0.0168275467397241,-0.275894784396764,0.066801,0.188981,0.980332,0.392103
WorkFlow,14,0.269845608768732,-0.352325281719914,-0.00654642256578001,-0.21195756280806,0.040151,0.165083,0.972019,0.402242
WorkFlow,15,0.0340911390411093,-0.178927547586173,0.00102917051818056,0.0219284791644182,0.147208,0.251459,0.991161,0.47415
WorkFlow,16,-0.161686979542281,0.577214943407144,0.00541750118266293,-1.11311519956822,0.418203,0.345416,0.992361,0.376129
WorkFlow,17,-0.0769132268332506,0.0415327718736978,0.00252014419847783,0.319960665673122,0.101164,0.233678,0.990305,0.524536
WorkFlow,18,-0.662722360174795,-0.271559968837959,0.0140101664846241,-0.546632953722741,0.73547,0.252033,0.998863,0.393883
WorkFlow,19,-0.0238120568910936,-0.75851188671782,-0.000160109035708005,0.846080204438788,0.058649,0.21516,0.994974,0.665059
WorkFlow,20,0.422786697918545,-0.669875812078003,-0.00356705741679249,-0.286742481919657,0.058693,0.158805,0.965499,0.384336
WorkFlow,21,0.0834250340364892,0.342047980389015,-0.00723242036597205,0.395090217210844,0.173175,0.239768,0.985117,0.548501
WorkFlow,22,0.151501573191415,0.468794650634842,-0.00533165189334081,0.213000367887659,0.301184,0.26067,0.988441,0.513575
WorkFlow,23,-0.433051432182181,-0.0650236539603519,0.00929390966144773,-0.482697732960396,0.670298,0.262918,0.998585,0.426391
WorkFlow,24,-0.531077529604959,-0.0863040918099741,0.00660468496154341,-0.90731273581047,0.663748,0.287121,0.999438,0.369771
WorkFlow,25,0.161247852789213,0.055667943601991,-0.00630281628943336,-0.57013197058929,0.097985,0.268649,0.986192,0.406487
WorkFlow,26,-0.142316866639463,0.0756438772489599,0.00433504169184255,0.211871825700156,0.14007,0.238451,0.991692,0.506581
WorkFlow,27,0.270801153974105,0.389059460102801,-0.00851185663759821,-0.11320723635548,0.098033,0.233551,0.982826,0.437621
WorkFlow,28,-0.391163259403855,-0.0131879854112803,0.00704944021019958,-0.562106565652772,0.214027,0.271505,0.996945,0.407739
