"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",7877.92838
"WorkFlow",1,"CMultStdev",0.768472
"WorkFlow",1,"tvVmax",1202.47
"WorkFlow",1,"tvKm",1229.53
"WorkFlow",1,"tvV",16.7481
"WorkFlow",1,"tvKa",1.18558
"WorkFlow",1,"dVdWT",1.09837
"WorkFlow",2,"-2LL",7861.12066
"WorkFlow",2,"CMultStdev",0.687584
"WorkFlow",2,"tvVmax",1210.43
"WorkFlow",2,"tvKm",1246.18
"WorkFlow",2,"tvV",16.4301
"WorkFlow",2,"tvKa",1.20535
"WorkFlow",2,"dVdWT",1.0913
"WorkFlow",3,"-2LL",7850.0313
"WorkFlow",3,"CMultStdev",0.630085
"WorkFlow",3,"tvVmax",1198.31
"WorkFlow",3,"tvKm",1267.97
"WorkFlow",3,"tvV",15.9417
"WorkFlow",3,"tvKa",1.21938
"WorkFlow",3,"dVdWT",1.07668
"WorkFlow",4,"-2LL",7836.2983
"WorkFlow",4,"CMultStdev",0.536879
"WorkFlow",4,"tvVmax",1217.04
"WorkFlow",4,"tvKm",1316.99
"WorkFlow",4,"tvV",14.5892
"WorkFlow",4,"tvKa",1.28543
"WorkFlow",4,"dVdWT",1.05349
"WorkFlow",5,"-2LL",7830.43782
"WorkFlow",5,"CMultStdev",0.497661
"WorkFlow",5,"tvVmax",1195.23
"WorkFlow",5,"tvKm",1435.35
"WorkFlow",5,"tvV",13.9097
"WorkFlow",5,"tvKa",1.33071
"WorkFlow",5,"dVdWT",1.02625
"WorkFlow",6,"-2LL",7817.63842
"WorkFlow",6,"CMultStdev",0.49628
"WorkFlow",6,"tvVmax",1244.71
"WorkFlow",6,"tvKm",1629.03
"WorkFlow",6,"tvV",13.2481
"WorkFlow",6,"tvKa",1.35113
"WorkFlow",6,"dVdWT",0.986589
"WorkFlow",7,"-2LL",7810.99332
"WorkFlow",7,"CMultStdev",0.502372
"WorkFlow",7,"tvVmax",1295.51
"WorkFlow",7,"tvKm",1840.04
"WorkFlow",7,"tvV",13.2043
"WorkFlow",7,"tvKa",1.35706
"WorkFlow",7,"dVdWT",0.992677
"WorkFlow",8,"-2LL",7809.7652
"WorkFlow",8,"CMultStdev",0.517262
"WorkFlow",8,"tvVmax",1455.54
"WorkFlow",8,"tvKm",1945.03
"WorkFlow",8,"tvV",13.295
"WorkFlow",8,"tvKa",1.27464
"WorkFlow",8,"dVdWT",1.03386
"WorkFlow",9,"-2LL",7808.28614
"WorkFlow",9,"CMultStdev",0.530323
"WorkFlow",9,"tvVmax",1390.71
"WorkFlow",9,"tvKm",1935.25
"WorkFlow",9,"tvV",13.6205
"WorkFlow",9,"tvKa",1.21491
"WorkFlow",9,"dVdWT",1.0484
"WorkFlow",10,"-2LL",7808.01674
"WorkFlow",10,"CMultStdev",0.523252
"WorkFlow",10,"tvVmax",1385.59
"WorkFlow",10,"tvKm",1930.24
"WorkFlow",10,"tvV",13.2828
"WorkFlow",10,"tvKa",1.21395
"WorkFlow",10,"dVdWT",1.04544
"WorkFlow",11,"-2LL",7807.9286
"WorkFlow",11,"CMultStdev",0.522118
"WorkFlow",11,"tvVmax",1396.22
"WorkFlow",11,"tvKm",1957.55
"WorkFlow",11,"tvV",13.3074
"WorkFlow",11,"tvKa",1.21673
"WorkFlow",11,"dVdWT",1.05434
"WorkFlow",12,"-2LL",7807.66002
"WorkFlow",12,"CMultStdev",0.516981
"WorkFlow",12,"tvVmax",1460.76
"WorkFlow",12,"tvKm",2167.14
"WorkFlow",12,"tvV",13.4419
"WorkFlow",12,"tvKa",1.22305
"WorkFlow",12,"dVdWT",1.1262
"WorkFlow",13,"-2LL",7807.35316
"WorkFlow",13,"CMultStdev",0.518722
"WorkFlow",13,"tvVmax",1487.3
"WorkFlow",13,"tvKm",2277.34
"WorkFlow",13,"tvV",13.3391
"WorkFlow",13,"tvKa",1.22573
"WorkFlow",13,"dVdWT",1.12404
"WorkFlow",14,"-2LL",7807.02806
"WorkFlow",14,"CMultStdev",0.522566
"WorkFlow",14,"tvVmax",1510.01
"WorkFlow",14,"tvKm",2404.48
"WorkFlow",14,"tvV",13.1816
"WorkFlow",14,"tvKa",1.2011
"WorkFlow",14,"dVdWT",1.06233
"WorkFlow",15,"-2LL",7806.94234
"WorkFlow",15,"CMultStdev",0.522259
"WorkFlow",15,"tvVmax",1544.24
"WorkFlow",15,"tvKm",2527.46
"WorkFlow",15,"tvV",13.14
