Scenario,ID,Eta,Value
WorkFlow,1,nVmax,0.112664750312139
WorkFlow,1,nKm,-0.207054325985515
WorkFlow,1,nV,-0.677061757447545
WorkFlow,2,nVmax,-0.232635510610883
WorkFlow,2,nKm,-0.172364180487566
WorkFlow,2,nV,-0.0401299279430002
WorkFlow,3,nVmax,-0.0549070948539477
WorkFlow,3,nKm,0.027082646017325
WorkFlow,3,nV,0.133647099678049
WorkFlow,4,nVmax,0.414499942429994
WorkFlow,4,nKm,0.633947012152501
WorkFlow,4,nV,0.749117110861744
WorkFlow,5,nVmax,-0.0509368341731702
WorkFlow,5,nKm,-0.27062318735209
WorkFlow,5,nV,-0.291496292511468
WorkFlow,6,nVmax,-0.0410791854170301
WorkFlow,6,nKm,-0.0324798102071703
WorkFlow,6,nV,-0.0345198144813482
WorkFlow,7,nVmax,-0.00609259228669148
WorkFlow,7,nKm,0.103710307529699
WorkFlow,7,nV,0.169439769787697
WorkFlow,8,nVmax,0.38519032224282
WorkFlow,8,nKm,0.578569528025615
WorkFlow,8,nV,0.677214217501046
WorkFlow,9,nVmax,-0.0678269329865921
WorkFlow,9,nKm,-0.318476445160051
WorkFlow,9,nV,-0.438148125669064
WorkFlow,10,nVmax,0.0777572970091916
WorkFlow,10,nKm,0.126589501920035
WorkFlow,10,nV,0.179203761543797
WorkFlow,11,nVmax,0.104081483060383
WorkFlow,11,nKm,0.0455757926093159
WorkFlow,11,nV,-0.251733600391292
WorkFlow,12,nVmax,0.0558574884316137
WorkFlow,12,nKm,-0.143162249188554
WorkFlow,12,nV,-0.352653771690293
WorkFlow,13,nVmax,-0.0994917980081486
WorkFlow,13,nKm,-0.0461653554125611
WorkFlow,13,nV,0.0686891792527077
WorkFlow,14,nVmax,-0.0630223996725353
WorkFlow,14,nKm,-0.0339205419286158
WorkFlow,14,nV,0.0405861071507574
WorkFlow,15,nVmax,-0.772734304122994
WorkFlow,15,nKm,-0.779522461812607
WorkFlow,15,nV,-0.566430115740526
WorkFlow,16,nVmax,0.103880212154187
WorkFlow,16,nKm,0.0245775680233815
WorkFlow,16,nV,-0.0885871802732329
WorkFlow,17,nVmax,-0.56015121673695
WorkFlow,17,nKm,-0.565478684289113
WorkFlow,17,nV,-0.406078016116181
WorkFlow,18,nVmax,0.0487268298811135
WorkFlow,18,nKm,0.0860164186406097
WorkFlow,18,nV,0.145659042043395
WorkFlow,19,nVmax,-0.286060685736219
WorkFlow,19,nKm,-0.237833189943011
WorkFlow,19,nV,-0.0923227128188946
WorkFlow,20,nVmax,0.23556841229081
WorkFlow,20,nKm,0.0291068398805561
WorkFlow,20,nV,-0.394043469899697
WorkFlow,21,nVmax,0.298549146358464
WorkFlow,21,nKm,-0.0265587571273872
WorkFlow,21,nV,-0.355861579213369
WorkFlow,22,nVmax,0.35193374115488
WorkFlow,22,nKm,0.490755891336827
WorkFlow,22,nV,0.518559295976896
WorkFlow,23,nVmax,0.0721244389803009
WorkFlow,23,nKm,0.083754501216589
WorkFlow,23,nV,0.0370502325436892
WorkFlow,24,nVmax,0.0932913193915733
WorkFlow,24,nKm,0.262355668812985
WorkFlow,24,nV,0.36877839230276
WorkFlow,25,nVmax,0.513229647756198
WorkFlow,25,nKm,0.483299383679849
WorkFlow,25,nV,0.150595564027281
WorkFlow,26,nVmax,0.167890838868645
WorkFlow,26,nKm,0.282248852243311
WorkFlow,26,nV,0.120303190594649
WorkFlow,27,nVmax,0.0790088895558402
WorkFlow,27,nKm,0.0314418869173968
WorkFlow,27,nV,-0.0346803896528472
WorkFlow,28,nVmax,-0.223859849418697
WorkFlow,28,nKm,0.0703491116905814
WorkFlow,28,nV,0.494106567728485
WorkFlow,29,nVmax,-0.489371772068684
WorkFlow,29,nKm,-0.725865408190797
WorkFlow,29,nV,-0.600963590256331
WorkFlow,30,nVmax,0.307278563319711
WorkFlow,30,nKm,0.425018289620266
WorkFlow,30,nV,0.428061613370196
WorkFlow,31,nVmax,-0.471431061300285
WorkFlow,31,nKm,-0.602385826870697
WorkFlow,31,nV,-0.481434746629237
WorkFlow,32,nVmax,0.402557570811156
WorkFlow,32,nKm,0.401295592348105
WorkFlow,32,nV,0.139055954232893
WorkFlow,33,nVmax,-0.654879885327503
WorkFlow,33,nKm,-0.502181722579745
WorkFlow,33,nV,-0.2737191943943
WorkFlow,34,nVmax,0.148959562577934
WorkFlow,34,nKm,0.303656203895114
WorkFlow,34,nV,0.445074239431683
WorkFlow,35,nVmax,0.0826811097349868
WorkFlow,35,nKm,0.061652327026373
WorkFlow,35,nV,0.0475425218182538
WorkFlow,36,nVmax,0.42704263502652
WorkFlow,36,nKm,0.44885078834221
WorkFlow,36,nV,0.268485488061176
WorkFlow,37,nVmax,-0.135811274861976
WorkFlow,37,nKm,-0.29574980419477
WorkFlow,37,nV,-0.345522224603047
WorkFlow,38,nVmax,-0.42019188861117
WorkFlow,38,nKm,-0.61457416867189
WorkFlow,38,nV,-0.591459037463771
WorkFlow,39,nVmax,0.512050215555925
WorkFlow,39,nKm,0.541440832010725
WorkFlow,39,nV,0.217376217306894
WorkFlow,40,nVmax,0.479812820551578
WorkFlow,40,nKm,0.147335509801975
WorkFlow,40,nV,-0.531107281277094
WorkFlow,41,nVmax,-0.11507591943807
WorkFlow,41,nKm,0.052620333899318
WorkFlow,41,nV,0.252449122086053
WorkFlow,42,nVmax,-0.349937515728427
WorkFlow,42,nKm,-0.474054086994004
WorkFlow,42,nV,-0.390713146710389
WorkFlow,43,nVmax,-0.135284128420339
WorkFlow,43,nKm,-0.0935336954695404
WorkFlow,43,nV,-0.0212841546617751
WorkFlow,44,nVmax,0.268461949604116
WorkFlow,44,nKm,0.276609829906774
WorkFlow,44,nV,0.148669934808481
WorkFlow,45,nVmax,0.454203962327833
WorkFlow,45,nKm,0.492600481820758
WorkFlow,45,nV,0.334943824581545
WorkFlow,46,nVmax,-0.134852809582758
WorkFlow,46,nKm,-0.117150122252429
WorkFlow,46,nV,0.0206250209582816
WorkFlow,47,nVmax,0.0599541032079763
WorkFlow,47,nKm,0.234412458437482
WorkFlow,47,nV,0.437077088706502
WorkFlow,48,nVmax,0.359144138347946
WorkFlow,48,nKm,0.29878221422026
WorkFlow,48,nV,0.0207923616380666
WorkFlow,49,nVmax,0.320923246680334
WorkFlow,49,nKm,0.22709011708813
WorkFlow,49,nV,0.0382044844411157
WorkFlow,50,nVmax,0.150227437625269
WorkFlow,50,nKm,0.220879318691038
WorkFlow,50,nV,0.242707443236752
WorkFlow,51,nVmax,-0.566960038425429
WorkFlow,51,nKm,-0.747181902892771
WorkFlow,51,nV,-0.601305236902545
WorkFlow,52,nVmax,-0.321349932150098
WorkFlow,52,nKm,-0.325635570286787
WorkFlow,52,nV,-0.190284222445359
WorkFlow,53,nVmax,-0.0239468317767079
WorkFlow,53,nKm,0.183000087101591
WorkFlow,53,nV,0.430992731875992
WorkFlow,54,nVmax,-0.819207457689233
WorkFlow,54,nKm,-0.782326958806969
WorkFlow,54,nV,-0.588329551671398
WorkFlow,55,nVmax,-0.0889640581728611
WorkFlow,55,nKm,-0.143231275921226
WorkFlow,55,nV,-0.120103431173445
WorkFlow,56,nVmax,0.243507243948322
WorkFlow,56,nKm,0.271337192082947
WorkFlow,56,nV,0.216294470855953
WorkFlow,57,nVmax,0.371488252411296
WorkFlow,57,nKm,0.111773041087578
WorkFlow,57,nV,-0.545838045945291
WorkFlow,58,nVmax,-0.444988756427437
WorkFlow,58,nKm,-0.413443903226797
WorkFlow,58,nV,-0.244451689764806
WorkFlow,59,nVmax,-0.664657716689144
WorkFlow,59,nKm,-0.662009424516311
WorkFlow,59,nV,-0.462350561090457
WorkFlow,60,nVmax,0.22535065010396
WorkFlow,60,nKm,0.179355317361725
WorkFlow,60,nV,-0.131230948435806
