
 WorkFlow
Start 2024-05-14 09:23:45  Run : 35 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa    dVdWT
    1 7811.284   0.721306 1314.35 1189.83 16.7661 1.16984 1.074640
    2 7794.634   0.643714 1326.76 1202.00 16.3636 1.18199 1.055610
    3 7779.782   0.568479 1344.92 1223.47 15.4884 1.19424 1.004060
    4 7776.520   0.423516 1375.28 1356.77 12.5893 1.19734 0.864175
    5 7761.018   0.504030 1398.82 1379.25 13.5859 1.20546 0.858893
    6 7752.621   0.506565 1403.89 1510.27 13.7208 1.19215 0.800119
    7 7745.131   0.509063 1493.71 1640.21 13.2793 1.16997 0.720907
    8 7742.937   0.504385 1502.90 1721.62 13.4125 1.12977 0.694551
    9 7741.701   0.496635 1515.46 1730.13 13.1995 1.09888 0.691048
   10 7739.460   0.484443 1514.94 1709.07 13.0866 1.08300 0.713776
   11 7738.590   0.488054 1510.62 1684.96 12.9338 1.10821 0.688173
   12 7738.137   0.495771 1490.01 1667.35 13.1034 1.11343 0.652052
   13 7737.918   0.501592 1505.83 1664.00 13.1254 1.11566 0.633851
   14 7737.817   0.499803 1511.48 1675.06 13.1302 1.11040 0.631536
   15 7737.748   0.497475 1513.81 1691.17 13.1067 1.10586 0.617080
   16 7737.699   0.496402 1521.39 1705.86 13.1267 1.10579 0.619839
   17 7737.692   0.495622 1518.13 1704.09 13.0794 1.10275 0.616427
   18 7737.674   0.495252 1519.79 1712.89 13.0539 1.10093 0.608748
   19 7737.628   0.495032 1526.73 1727.22 13.0607 1.09964 0.605354
   20 7737.597   0.496045 1524.97 1732.49 13.0794 1.10964 0.606895
   21 7737.569   0.496619 1527.43 1745.37 13.0696 1.11195 0.605499
   22 7737.501   0.497320 1541.00 1792.58 13.0404 1.11229 0.597909
   23 7737.443   0.497337 1557.22 1840.40 13.0213 1.10800 0.591848
   24 7737.358   0.496980 1587.89 1922.78 13.0084 1.09952 0.587038
   25 7737.310   0.496289 1625.67 2022.49 12.9950 1.09122 0.589007
   26 7737.289   0.496447 1626.62 2021.92 13.0151 1.09263 0.596458
   27 7737.265   0.496697 1623.93 2009.10 13.0524 1.09700 0.616132
   28 7737.255   0.496951 1625.18 2010.45 13.0592 1.09842 0.621984
   29 7737.228   0.497389 1634.20 2033.08 13.0615 1.10025 0.637082
   30 7737.195   0.497781 1659.04 2100.47 13.0487 1.10016 0.647854
   31 7737.162   0.497734 1667.26 2126.32 13.0415 1.09924 0.640451
   32 7737.087   0.496966 1742.22 2339.46 12.9738 1.08925 0.590647
   33 7737.054   0.496780 1720.27 2284.89 12.9987 1.08939 0.595973
