
 WorkFlow
Start 2024-05-14 09:24:34  Run : 30 nSubj: 60 nObs : 420
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa     K12     K21    dVdWT
    1 7524.975   0.939866 1204.29 1205.04 16.18910 1.181280 2.15227 2.88100 1.101630
    2 7507.494   0.855132 1208.58 1214.73 16.59910 1.160360 2.20511 2.86024 1.087730
    3 7487.228   0.757489 1208.58 1231.81 16.27080 1.140200 2.13795 2.95169 1.057340
    4 7470.090   0.680572 1207.36 1246.14 15.82700 1.125460 2.05820 3.04171 1.029090
    5 7449.894   0.579661 1203.98 1269.79 14.97430 1.106900 1.92682 3.18050 0.989337
    6 7443.696   0.514447 1199.23 1301.38 13.97030 1.093130 1.79685 3.31750 0.959066
    7 7441.430   0.550691 1197.66 1300.78 14.17670 1.095740 1.82633 3.28084 0.968824
    8 7440.810   0.553871 1196.29 1314.14 14.18900 1.090880 1.82803 3.28629 0.972124
    9 7436.901   0.554423 1191.22 1403.04 14.15790 1.056580 1.82453 3.33294 0.975084
   10 7429.285   0.546613 1179.65 1703.22 13.94810 0.954195 1.80509 3.48200 0.981729
   11 7427.308   0.546314 1194.22 1822.62 13.84940 0.932284 1.80659 3.52192 0.986971
   12 7427.052   0.548342 1311.17 2279.86 13.49100 0.887384 1.84842 3.66236 1.019260
   13 7419.564   0.546159 1304.35 2078.65 13.59910 0.942443 1.84205 3.56460 1.008770
   14 7415.327   0.540189 1370.80 2101.65 13.53560 0.977455 1.85592 3.52909 1.011830
   15 7412.054   0.528166 1639.27 2316.19 13.28910 1.065020 1.92254 3.46161 1.032230
   16 7410.639   0.536052 1541.04 2229.28 13.39150 1.026930 1.89603 3.48365 1.020400
   17 7410.443   0.535641 1555.10 2237.72 13.36600 1.022150 1.89381 3.48309 1.018290
   18 7410.021   0.538494 1586.41 2254.75 13.34750 1.002620 1.89445 3.48751 1.012820
   19 7409.870   0.538961 1615.33 2280.51 13.27820 0.977626 1.88899 3.49863 1.005800
   20 7409.843   0.538590 1612.46 2275.62 13.26740 0.976211 1.88824 3.49644 1.005900
   21 7409.832   0.538021 1607.66 2270.32 13.25250 0.972563 1.88655 3.49303 1.005650
   22 7409.832   0.538462 1611.35 2273.81 13.25850 0.974089 1.88812 3.49376 1.006170
   23 7409.783   0.539705 1629.24 2280.22 13.20060 0.963414 1.89581 3.46106 1.004940
   24 7409.735   0.540036 1630.42 2282.45 13.15790 0.963073 1.90234 3.43604 1.006350
   25 7409.590   0.546820 1680.93 2358.96 12.28140 0.944503 2.04383 2.95412 1.035410
   26 7409.283   0.543590 1663.92 2353.24 12.44880 0.943323 2.00552 3.08944 1.027520
   27 7409.007   0.542241 1670.40 2393.76 12.22950 0.929190 2.03234 3.02680 1.031650
   28 7407.762   0.538942 1726.04 2599.74 10.99950 0.854329 2.20808 2.60425 1.055760
   29 7407.359   0.538186 1752.81 2674.49 10.47410 0.824245 2.28533 2.42323 1.065370
   30 7407.062   0.537557 1773.79 2729.54 10.06970 0.800474 2.34292 2.29641 1.070870
   31 7406.410   0.534284 1854.97 2916.88  8.32466 0.696551 2.59733 1.79503 1.084840
   32 7405.802   0.531748 1869.78 2946.80  8.04265 0.674898 2.62619 1.79172 1.072890
   33 7405.399   0.532548 1869.18 2964.70  7.62470 0.651871 2.68599 1.67269 1.066470
   34 7404.998   0.536293 1877.28 2993.61  6.73811 0.594255 2.81652 1.44239 1.045880
   35 7404.921   0.537829 1865.80 2994.19  6.64556 0.588376 2.82642 1.42562 1.036310
   36 7404.913   0.537174 1870.43 2997.18  6.51410 0.579551 2.84833 1.39846 1.035060
   37 7404.910   0.536338 1873.62 2998.43  6.42928 0.572862 2.86062 1.38155 1.033960
   38 7404.909   0.536276 1871.26 2998.37  6.42880 0.573594 2.86059 1.38152 1.033960
   39 7404.906   0.536348 1870.96 2998.23  6.43902 0.574311 2.85896 1.38367 1.034140
   40 7404.906   0.536348 1870.96 2998.23  6.43902 0.574311 2.85896 1.38367 1.034140
   41 7404.906   0.536348 1870.96 2998.23  6.43902 0.574311 2.85896 1.38367 1.034140
